ID_C_AUC,N_1a11d
278,3
279,0
280,22
281,16
282,6
283,0
284,0
285,0
286,2
287,14
288,9
289,0
290,0
291,0
292,3
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,3
319,13
320,1
321,0
322,0
323,0
324,0
325,0
326,3
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,8
373,0
374,0
375,3
376,3
377,12
378,20
379,0
380,0
381,1
382,10
383,1
384,0
385,6
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,3
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,2
412,0
413,0
414,0
415,0
416,0
417,0
418,10
419,11
420,3
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,15
429,17
430,10
431,8
432,1
433,0
434,0
435,0
436,0
437,1
438,48
439,18
440,14
441,14
442,3
443,4
444,0
445,7
446,22
447,17
448,13
449,1
450,7
451,17
452,12
453,7
454,0
455,0
456,7
457,18
458,0
459,3
460,3
461,0
462,1
463,15
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,5
482,0
483,0
484,2
485,2
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,2
505,0
506,0
507,0
508,0
509,4
510,1
511,3
512,14
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,1
541,5
542,0
543,0
544,0
545,0
546,0
547,7
548,4
549,0
550,0
551,19
552,2
553,10
554,17
555,14
556,4
557,39
558,46
559,3
560,36
561,40
562,0
563,20
564,14
565,32
566,0
567,0
568,2
569,13
570,51
571,12
572,0
573,8
574,31
575,0
576,13
577,54
578,1
579,7
580,32
581,41
582,0
583,5
584,29
585,1
586,0
587,16
588,27
589,3
590,0
591,22
592,48
593,0
594,9
595,24
596,16
597,0
598,21
599,10
600,1
601,0
602,2
603,16
604,0
605,0
606,0
607,0
608,7
609,4
610,0
611,2
612,6
613,0
614,0
615,9
616,3
617,3
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,9
634,1
635,0
636,4
637,20
638,0
639,0
640,8
641,7
642,0
643,0
644,0
645,0
646,0
647,0
648,2
649,14
650,0
651,0
652,6
653,0
654,0
655,0
656,0
657,0
658,0
659,7
660,2
661,0
662,0
663,10
664,2
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,15
675,0
676,0
677,1
678,2
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,1
710,1
711,2
712,0
713,0
714,0
715,2
716,7
717,26
718,0
719,0
720,1
721,0
722,0
723,14
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,5
761,0
762,0
763,3
764,0
765,0
766,5
767,5
768,12
769,8
770,19
771,0
772,0
773,0
774,19
775,12
776,19
777,0
778,0
779,21
780,7
781,9
782,8
783,7
784,0
785,0
786,29
787,4
788,11
789,7
790,5
791,1
792,3
793,2
794,3
795,6
796,0
797,0
798,0
799,1
800,3
801,5
802,4
803,0
804,0
805,7
806,12
807,9
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,3
816,0
817,0
818,0
819,1
820,2
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,4
868,16
869,0
870,0
871,0
872,0
873,4
874,0
875,3
876,0
877,0
878,1
879,0
880,0
881,0
882,2
883,11
884,1
885,0
886,5
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,8
903,7
904,0
905,0
906,0
907,0
908,3
909,0
910,12
911,6
912,10
913,0
914,2
915,10
916,12
917,12
918,0
919,1
920,0
921,2
922,12
923,9
924,11
925,0
926,0
927,0
928,1
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,5
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,1
949,0
950,0
951,0
952,4
953,1
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,1
991,0
992,0
993,4
994,2
995,12
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,33
1015,7
1016,1
1017,1
1018,40
1019,42
1020,3
1021,0
1022,0
1023,0
1024,15
1025,16
1026,19
1027,20
1028,5
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,9
1036,11
1037,9
1038,9
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,16
1047,9
1048,2
1049,0
1050,1
1051,0
1052,0
1053,0
1054,1
1055,4
1056,16
1057,2
1058,4
1059,10
1060,0
1061,0
1062,0
1063,0
1064,10
1065,2
1066,11
1067,13
1068,16
1069,4
1070,0
1071,0
1072,7
1073,1
1074,9
1075,6
1076,3
1077,0
1078,4
1079,14
1080,0
1081,0
1082,1
1083,2
1084,0
1085,8
1086,14
1087,13
1088,2
1089,0
1090,1
1091,1
1092,2
1093,1
1094,0
1095,6
1096,1
1097,0
1098,1
1099,1
1100,8
1101,9
1102,3
1103,2
1104,0
1105,1
1106,4
1107,0
1108,0
1109,0
1110,0
1111,1
1112,1
1113,13
1114,4
1115,0
1116,1
1117,1
1118,11
1119,14
1120,11
1121,9
1122,0
1123,0
1124,0
1125,0
1126,0
1127,10
1128,6
1129,4
1130,0
1131,3
1132,3
1133,0
1134,0
1135,9
1136,9
1137,13
1138,4
1139,2
1140,0
1141,0
1142,0
1143,2
1144,8
1145,20
1146,4
1147,13
1148,3
1149,0
1150,1
1151,3
1152,18
1153,3
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,11
1164,13
1165,11
1166,0
1167,0
1168,5
1169,2
1170,0
1171,0
1172,5
1173,4
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,11
1183,22
1184,14
1185,6
1186,0
1187,2
1188,0
1189,0
1190,0
1191,0
1192,4
1193,15
1194,26
1195,2
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,10
1206,0
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,1
1222,0
1223,0
1224,0
1225,4
1226,1
1227,0
1228,7
1229,1
1230,0
1231,1
1232,0
1233,1
1234,0
1235,4
1236,0
1237,0
1238,0
1239,0
1240,6
1241,0
1242,0
1243,1
1244,0
1245,1
1246,0
1247,0
1248,1
1249,0
1250,1
1251,4
1252,6
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,1
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,1
1270,0
1271,0
1272,1
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,2
1310,0
1311,0
1312,0
1313,0
1314,0
1315,1
1316,1
1317,0
1318,4
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,5
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,1
1365,0
1366,0
1367,0
1368,3
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,3
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,2
1389,0
1390,2
1391,0
1392,0
1393,0
1394,0
1395,0
1396,2
1397,28
1398,21
1399,1
1400,0
1401,0
1402,3
1403,14
1404,14
1405,0
1406,6
1407,8
1408,14
1409,8
1410,0
1411,0
1412,0
1413,0
1414,4
1415,8
1416,12
1417,0
1418,0
1419,0
1420,1
1421,0
1422,0
1423,0
1424,0
1425,1
1426,0
1427,0
1428,0
1429,0
1430,0
1431,3
1432,2
1433,0
1434,2
1435,1
1436,0
1437,0
1438,0
1439,1
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,1
1466,6
1467,1
1468,2
1469,0
1470,2
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,1
1482,3
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,4
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,5
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,3
1517,2
1518,0
1519,1
1520,3
1521,0
1522,0
1523,0
1524,0
1525,1
1526,0
1527,1
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1543,6
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,1
1562,0
1563,0
1564,0
1565,1
1566,0
1567,0
1568,0
1569,3
1570,0
1571,0
1572,0
1573,0
1574,5
1575,0
1576,0
1577,1
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,1
1604,0
1605,2
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,1
1626,0
1627,0
1628,0
1629,1
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,4
1644,3
1645,4
1646,19
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,2
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,3
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,1
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,3
1701,0
1702,0
1703,8
1704,1
1705,3
1706,2
1707,9
1708,40
1709,1
1710,1
1711,0
1712,5
1713,15
1714,1
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,2
1733,0
1734,0
1735,0
1736,1
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,2
1751,2
1752,1
1753,0
1754,0
1755,1
1756,0
1757,4
1758,11
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,7
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,1
1789,0
1790,1
1791,0
1792,0
1793,0
1794,0
1795,3
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,2
1814,0
1815,0
1816,4
1817,0
1818,0
1819,0
1820,0
1821,2
1822,25
1823,0
1824,10
1825,24
1826,0
1827,0
1828,8
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,1
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,1
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,2
1876,0
1877,1
1878,0
1879,0
1880,1
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,2
1898,0
1899,0
1900,0
1901,1
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,1
1910,7
1911,0
1912,3
1913,8
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,1
1921,2
1922,0
1923,3
1924,12
1925,0
1926,0
1927,0
1928,0
1929,7
1930,0
1931,0
1932,0
1933,2
1934,1
1935,1
1936,0
1937,0
1938,0
1939,1
1940,2
1941,0
1942,0
1943,0
1944,6
1945,0
1946,0
1947,0
1948,0
1949,19
1950,5
1951,0
1952,0
1953,0
1954,1
1955,3
1956,4
1957,0
1958,1
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,3
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,1
1984,0
1985,1
1986,0
1987,0
1988,0
1989,0
1990,2
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,1
1999,0
2000,0
2001,1
2002,0
2003,0
2004,1
2005,0
2006,0
2007,0
2008,1
2009,0
2010,0
2011,7
2012,3
2013,0
2014,1
2015,0
2016,1
2017,3
2018,0
2019,1
2020,0
2021,0
2022,0
2023,1
2024,0
2025,0
2026,1
2027,0
2028,1
2029,0
2030,0
2031,1
2032,0
2033,0
2034,1
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,2
2042,1
2043,1
2044,0
2045,0
2046,0
2047,2
2048,0
2049,0
2050,0
2051,0
2052,5
2053,2
2054,0
2055,1
2056,0
2057,0
2058,0
2059,1
2060,1
2061,1
2062,4
2063,0
2064,2
2065,0
2066,1
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,6
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,1
2096,4
2097,1
2098,1
2099,2
2100,0
2101,2
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,2
2111,1
2112,0
2113,0
2114,0
2115,0
2116,3
2117,4
2118,0
2119,6
2120,16
2121,0
2122,3
2123,10
2124,10
2125,7
2126,0
2127,0
2128,0
2129,2
2130,5
2131,0
2132,0
2133,0
2134,18
2135,2
2136,0
2137,0
2138,0
2139,0
2140,1
2141,1
2142,0
2143,0
2144,0
2145,0
2146,0
2147,8
2148,4
2149,3
2150,0
2151,1
2152,0
2153,3
2154,4
2155,0
2156,1
2157,8
2158,0
2159,0
2160,2
2161,0
2162,0
2163,0
2164,0
2165,0
2166,7
2167,5
2168,2
2169,0
2170,0
2171,3
2172,1
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,1
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,2
2200,1
2201,1
2202,1
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,1
2213,1
2214,0
2215,0
2216,1
2217,10
2218,8
2219,0
2220,2
2221,2
2222,3
2223,0
2224,0
2225,2
2226,0
2227,0
2228,0
2229,2
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,2
2242,1
2243,1
2244,1
2245,0
2246,0
2247,0
2248,9
2249,18
2250,3
2251,8
2252,14
2253,1
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,1
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,3
2273,6
2274,0
2275,2
2276,2
2277,0
2278,8
2279,12
2280,8
2281,2
2282,0
2283,0
2284,0
2285,2
2286,2
2287,0
2288,1
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,8
2299,0
2300,0
2301,0
2302,13
2303,2
2304,0
2305,3
2306,2
2307,0
2308,2
2309,2
2310,0
2311,0
2312,0
2313,0
2314,1
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,1
2325,0
2326,2
2327,0
2328,0
2329,0
2330,0
2331,0
2332,1
2333,0
2334,2
2335,0
2336,0
2337,1
2338,0
2339,1
2340,1
2341,4
2342,2
2343,0
2344,0
2345,8
2346,1
2347,0
2348,0
2349,0
2350,1
2351,0
2352,0
2353,0
2354,0
2355,0
2356,3
2357,2
2358,11
2359,7
2360,8
2361,0
2362,0
2363,7
2364,1
2365,0
2366,0
2367,0
2368,1
2369,11
2370,16
2371,0
2372,0
2373,0
2374,2
2375,1
2376,0
2377,0
2378,0
2379,1
2380,4
2381,6
2382,2
2383,0
2384,0
2385,10
2386,0
2387,0
2388,0
2389,1
2390,1
2391,0
2392,3
2393,10
2394,4
2395,2
2396,3
2397,0
2398,0
2399,5
2400,0
2401,0
2402,0
2403,2
2404,0
2405,3
2406,19
2407,8
2408,0
2409,15
2410,2
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,1
2422,7
2423,3
2424,1
2425,1
2426,1
2427,1
2428,1
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,6
2437,6
2438,0
2439,1
2440,3
2441,13
2442,4
2443,0
2444,0
2445,2
2446,0
2447,0
2448,3
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,2
2456,16
2457,27
2458,9
2459,0
2460,0
2461,0
2462,0
2463,1
2464,1
2465,1
2466,1
2467,0
2468,4
2469,45
2470,18
2471,14
2472,0
2473,0
2474,6
2475,27
2476,25
2477,13
2478,0
2479,0
2480,12
2481,3
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,1
2491,15
2492,11
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,3
2501,9
2502,15
2503,20
2504,1
2505,0
2506,0
2507,0
2508,0
2509,0
2510,0
2511,9
2512,2
2513,1
2514,4
2515,3
2516,0
2517,0
2518,0
2519,1
2520,4
2521,0
2522,0
2523,0
2524,3
2525,0
2526,3
2527,1
2528,0
2529,0
2530,1
2531,0
2532,1
2533,2
2534,1
2535,0
2536,0
2537,0
2538,1
2539,0
2540,0
2541,0
2542,0
2543,1
2544,11
2545,0
2546,0
2547,0
2548,4
2549,8
2550,8
2551,0
2552,1
2553,1
2554,1
2555,0
2556,1
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,1
2565,11
2566,7
2567,4
2568,15
2569,3
2570,2
2571,0
2572,0
2573,2
2574,7
2575,1
2576,0
2577,0
2578,3
2579,0
2580,6
2581,0
2582,3
2583,2
2584,1
2585,0
2586,0
2587,0
2588,0
2589,6
2590,0
2591,12
2592,18
2593,32
2594,21
2595,18
2596,8
2597,6
2598,5
2599,2
2600,0
2601,3
2602,0
2603,0
2604,0
2605,4
2606,3
2607,0
2608,0
2609,2
2610,0
2611,5
2612,20
2613,7
2614,9
2615,27
2616,21
2617,22
2618,1
2619,1
2620,1
2621,8
2622,21
2623,0
2624,0
2625,0
2626,0
2627,25
2628,16
2629,0
2630,5
2631,13
2632,11
2633,16
2634,0
2635,0
2636,0
2637,0
2638,7
2639,9
2640,1
2641,0
2642,0
2643,0
2644,5
2645,3
2646,0
2647,1
2648,20
2649,16
2650,13
2651,0
2652,18
2653,18
2654,8
2655,6
2656,3
2657,0
2658,2
2659,0
2660,0
2661,7
2662,1
2663,0
2664,0
2665,1
2666,0
2667,0
2668,0
2669,0
2670,29
2671,25
2672,10
2674,1
2675,21
2676,14
2677,37
2678,4
2679,23
2680,10
2681,7
2682,5
2683,10
2684,8
2685,18
2686,0
2687,5
2688,7
2689,4
2690,6
2691,29
2692,20
2693,6
2694,4
2695,5
2696,6
2697,0
2698,5
2699,20
2700,42
2701,25
2702,3
2703,5
2704,33
2705,39
2706,28
2707,20
2708,16
2709,21
2710,17
2711,10
2712,10
2713,1
2714,0
2715,9
2716,7
2717,3
2718,1
2719,8
2720,6
2721,6
2722,8
2723,6
2724,13
2725,8
2726,9
2727,5
2728,8
2729,0
2730,0
2731,32
2732,35
2733,30
2734,35
2735,22
2736,36
2737,37
2738,35
2739,34
2740,3
2741,6
2742,10
2743,0
2744,1
2745,0
2746,2
2747,5
2748,13
2749,17
2750,21
2751,11
2752,17
2753,9
2754,27
2755,23
2756,8
2757,13
2758,9
2759,1
2760,5
2761,0
2762,0
2763,13
2764,7
2765,11
2766,19
2767,34
2768,29
2769,24
2770,34
2771,23
2772,4
2773,3
2774,25
2775,0
2776,1
2777,0
2778,1
2779,3
2780,4
2781,6
2782,13
2783,13
2784,18
2785,30
2786,26
2787,15
2788,12
2789,2
2790,1
2791,1
2792,0
2793,0
2794,0
2795,0
2796,0
2797,0
2798,1
2799,4
2800,8
2801,8
2802,22
2803,1
2804,4
2805,0
2806,0
2807,1
2808,1
2809,25
2810,11
2811,1
2812,0
2813,0
2814,0
2815,3
2816,2
2817,0
2818,0
2819,0
2820,0
2821,0
2822,2
2823,9
2824,0
2825,0
2826,3
2827,0
2828,0
2829,0
2830,5
2831,6
2832,0
2833,0
2834,0
2835,1
2836,0
2837,0
2838,0
2839,0
2840,1
2841,2
2842,1
2843,4
2844,0
2845,0
2846,5
2847,0
2848,0
2849,0
2850,0
2851,1
2852,2
2853,12
2854,5
2855,9
2856,0
2857,0
2858,4
2859,0
2860,0
2861,0
2862,6
2863,20
2864,7
2865,0
2866,0
2867,0
2868,2
2869,2
2870,0
2871,0
2872,4
2873,8
2874,0
2875,0
2876,0
2877,3
2878,0
2879,0
2880,0
2881,3
2882,0
2883,0
2884,0
2885,0
2886,0
2887,0
2888,4
2889,0
2890,0
2891,2
2892,1
2893,0
2894,0
2895,0
2896,0
2897,5
2898,14
2899,5
2900,0
2901,0
2902,0
2903,0
2904,16
2905,10
2906,2
2907,0
2908,2
2909,0
2910,1
2911,9
2912,6
2913,8
2914,3
2915,0
2916,1
2917,0
2918,0
2919,0
2920,2
2921,0
2922,0
2923,1
2924,14
2925,1
2926,0
2927,0
2928,0
2929,1
2930,0
2931,0
2932,0
2933,0
2934,2
2935,0
2936,0
2937,0
2938,3
2939,3
2940,0
2941,0
2942,1
2943,4
2944,3
2945,0
2946,2
2947,0
2948,0
2949,0
2950,0
2951,1
2952,2
2953,4
2954,1
2955,0
2956,1
2957,9
2958,0
2959,1
2960,0
2961,0
2962,2
2963,1
2964,0
2965,0
2966,0
2967,0
2968,2
2969,0
2970,0
2971,0
2972,0
2973,0
2974,0
2975,0
2976,0
2977,0
2978,0
2979,0
2980,0
2981,0
2982,1
2983,0
2984,1
2985,0
2986,0
2987,2
2988,0
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,0
